Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin C,Alcohol,Caffeine
, ,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,mg,g,mg
,,,,,,,,,,,,,,,,,,,,,
BAKED GOODS,,,,,,,,,,,,,,,,,,,,,
"Bread, raisin",1 slice,35,96,401,3,18,2,1.5,2,0.4,0,23,1,137,79,9,38,,,,
"Bread, rye",1 slice,35,91,379,3,17,1,2,1,0.2,0,26,1,231,58,14,44,,,,
"Bread, white, calorie-reduced",1 slice,35,72,303,3,16,2,3.4,1,0.2,0,33,1.1,159,27,8,42,,,,
"Bread, white, commercial",1 slice,35,93,389,3,18,2,0.8,1,0.3,0,53,1.3,238,35,8,35,,,,
"Bread, white, homemade with 2% milk",1 slice,35,100,417,3,17,,0.7,2,0.4,1,20,1,126,51,7,40,,,,
"Bread, whole wheat, commercial",1 slice,35,86,360,3,16,7,2.4,1,0.3,0,25,1.2,184,88,30,80,,,,
"Bread, whole wheat, homemade with 2% milk",1 slice,35,97,407,3,18,1,2.1,2,0.3,0,12,1.1,121,110,28,65,,,,
Dumpling,1 dumpling,35,69,289,1,8,tr,0.3,4,1,1,23,0.4,138,23,3,22,,,,
"English muffin, white, toasted",1,52,133,554,4,26,2,1.5,1,0.1,0,98,1.4,262,74,11,75,,,,
"English muffin, whole wheat, toasted",1,52,126,528,5,25,1,2.6,1,0.2,0,100,1.6,216,105,22,65,,,,
"Fry bread, Navajo",1,37,122,511,2,18,1,1,5,1.7,3,21,1.5,122,28,7,46,,,,
"Roll, crusty (kaiser)",1,57,167,698,6,30,1,1.3,2,0.3,0,54,1.9,310,62,15,57,,,,
"Roll, dinner, white",1,28,85,356,2,14,2,0.9,2,0.5,tr,34,0.9,148,38,7,33,,,,
"Roll, dinner, whole wheat",1,28,75,315,2,14,2,2.1,1,0.2,0,30,0.7,136,77,24,64,,,,
"Roll, hamburger or hotdog, white",1,43,120,502,4,21,3,0.9,2,0.5,0,59,1.4,206,40,9,27,,,,
"Roll, hamburger or hotdog, whole-wheat",1,43,113,473,4,19,3,1.6,3,0.6,0,41,1.7,197,69,19,52,,,,
OTHER BREAD PRODUCTS,,,,,,,,,,,,,,,,,,,,,
"Bread stick, plain (19cm X 2cm)",1,10,41,172,1,7,tr,0.3,1,0.1,0,2,0.4,66,12,3,12,,,,
"Bread stuffing, dry mix, prepared",125mL,106,188,786,3,23,2,3.1,9,1.8,0,34,1.2,574,78,13,44,,,,
"Croutons, plain",60mL,8,31,129,1,6,,0.4,1,0.1,0,6,0.3,53,9,2,9,,,,
"Matzo, plain",1,28,112,468,3,24,tr,0.9,tr,0.1,0,4,0.9,1,32,7,25,,,,
"Taco shell, baked (13cm diam)",1 shell,13,61,254,1,8,tr,1,3,0.4,0,21,0.3,48,23,14,32,,,,
"Tortilla, corn (15cm diam)",1,19,41,173,1,8,tr,1.2,1,0.1,0,15,0.2,9,35,14,60,,,,
